symbol,company,identifier,sedol,weight,sector,shares_held,local_currency
ISRG,Intuitive Surgical Inc.,46120E60,2871301,0.003196167531015558,Health Care,3952089,USD
SCHW,Charles Schwab Corporation,80851310,2779397,0.0031803872469704456,Financials,16706315,USD
RTX,Raytheon Technologies Corporation,75513E10,BM5M5Y3,0.0031595668722036994,Industrials,16709893,USD
AMGN,Amgen Inc.,03116210,2023607,0.003143096575738363,Health Care,6292691,USD
PLD,Prologis Inc.,74340W10,B44WZD7,0.003014774265936787,Real Estate,8192652,USD
C,Citigroup Inc.,17296742,2297907,0.0029662733929210726,Financials,22048016,USD
IBM,International Business Machines Corporation,45920010,2005973,0.002903092255660602,Information Technology,9943255,USD
ZTS,Zoetis Inc. Class A,98978V10,B95WG16,0.0028749317487714783,Health Care,5257530,USD
SPGI,S&P Global Inc.,78409V10,BYV2325,0.0028348010264184756,Financials,2672969,USD
ANTM,Anthem Inc.,03675210,BSPHGL4,0.0027568896240132324,Health Care,2704609,USD
BA,Boeing Company,09702310,2108601,0.0027545195813524644,Industrials,6111886,USD
CAT,Caterpillar Inc.,14912310,2180201,0.002751769531851574,Industrials,6010832,USD
TGT,Target Corporation,87612E10,2259101,0.002695838525093452,Consumer Discretionary,5423028,USD
MU,Micron Technology Inc.,59511210,2588184,0.002615907086327554,Information Technology,12488259,USD
ADP,Automatic Data Processing Inc.,05301510,2065308,0.0025640361526507475,Information Technology,4693179,USD
GE,General Electric Company,36960430,BL59CR9,0.0025557160028880518,Industrials,12176405,USD
AXP,American Express Company,02581610,2026082,0.002542065757183629,Financials,6971090,USD
MMM,3M Company,88579Y10,2595708,0.0025161052898952183,Industrials,6419224,USD
LRCX,Lam Research Corporation,51280710,2502247,0.002510565190173423,Information Technology,1564524,USD
DE,Deere & Company,24419910,2261203,0.0024502041036738665,Industrials,3149153,USD
BKNG,Booking Holdings Inc.,09857L10,BDRXDB4,0.0024192635467438412,Consumer Discretionary,455466,USD
COP,ConocoPhillips,20825C10,2685717,0.0023800728413111436,Energy,14655767,USD
ADI,Analog Devices Inc.,03265410,2032067,0.0023226618079125426,Information Technology,5967226,USD
MDLZ,Mondelez International Inc. Class A,60920710,B8CKK03,0.0022536805662501927,Consumer Staples,15506272,USD
GILD,Gilead Sciences Inc.,37555810,2369174,0.0022483304699484593,Health Care,13909162,USD
SYK,Stryker Corporation,86366710,2853688,0.0022333402001236025,Health Care,3723115,USD
TJX,TJX Companies Inc,87254010,2989301,0.0022055496998945982,Consumer Discretionary,13383669,USD
CCI,Crown Castle International Corp,22822V10,BTGQCX1,0.0021777091987655777,Real Estate,4794750,USD
MMC,Marsh & McLennan Companies Inc.,57174810,2567741,0.0021677790200223604,Financials,5619927,USD
MRNA,Moderna Inc.,60770K10,BGSXTS3,0.0021466786402155238,Health Care,3919863,USD
LMT,Lockheed Martin Corporation,53983010,2522096,0.002123768227828101,Industrials,2733259,USD
MO,Altria Group Inc,02209S10,2692632,0.0021232282181079263,Consumer Staples,20456584,USD
EL,Estee Lauder Companies Inc. Class A,51843910,2320524,0.002107147928662716,Consumer Staples,2572406,USD
PNC,PNC Financial Services Group Inc.,69347510,2692665,0.0021025378456812223,Financials,4713969,USD
CB,Chubb Limited,H1467J10,B3BQMF6,0.0020541569748255472,Financials,4786159,USD
SHW,Sherwin-Williams Company,82434810,2804211,0.0020523469422449605,Materials,2677503,USD
GM,General Motors Company,37045V10,B665KZ5,0.0020516269292847273,Consumer Discretionary,16104585,USD
CSX,CSX Corporation,12640810,2160753,0.0020331765971787494,Industrials,24645500,USD
CME,CME Group Inc. Class A,12572Q10,2965839,0.002027666497996964,Financials,3984152,USD
F,Ford Motor Company,34537086,2615468,0.002008436151850733,Consumer Discretionary,43529544,USD
EW,Edwards Lifesciences Corporation,28176E10,2567116,0.0020029760535689644,Health Care,6914948,USD
CHTR,Charter Communications Inc. Class A,16119P10,BZ6VT82,0.0019891558048044868,Communication Services,1374605,USD
DUK,Duke Energy Corporation,26441C20,B7VD3F2,0.001955395197113548,Utilities,8534254,USD
TFC,Truist Financial Corporation,89832Q10,BKP7287,0.0019202445644021593,Financials,14807706,USD
ICE,Intercontinental Exchange Inc.,45866F10,BFSSDS9,0.0019088543593784688,Financials,6246996,USD
USB,U.S. Bancorp,90297330,2736035,0.0018838539093703687,Financials,14967418,USD
CI,Cigna Corporation,12552310,BHJ0775,0.0018613435041830752,Health Care,3682542,USD
EQIX,Equinix Inc.,29444U70,BVLZX12,0.0018448432071777293,Real Estate,995875,USD
BDX,Becton Dickinson and Company,07588710,2087807,0.001776341974155535,Health Care,3186322,USD
NSC,Norfolk Southern Corporation,65584410,2641894,0.0017486114750065503,Industrials,2703956,USD
SO,Southern Company,84258710,2829601,0.0017446614039052703,Utilities,11745903,USD
CL,Colgate-Palmolive Company,19416210,2209106,0.0017417213509843177,Consumer Staples,9357400,USD
ITW,Illinois Tool Works Inc.,45230810,2457552,0.0017189509411169401,Industrials,3179397,USD
TMUS,T-Mobile US Inc.,87259010,B94Q9V0,0.0017115108071945296,Communication Services,6506664,USD
ETN,Eaton Corp. Plc,G2918310,B8KQN82,0.0016740601330823956,Industrials,4421856,USD
KLAC,KLA Corporation,48248010,2480138,0.001654459780276045,Information Technology,1694441,USD
APD,Air Products and Chemicals Inc.,00915810,2011602,0.0016463196337534076,Materials,2455724,USD
REGN,Regeneron Pharmaceuticals Inc.,75886F10,2730190,0.0016421195581520468,Health Care,1166214,USD
FIS,Fidelity National Information Services Inc.,31620M10,2769796,0.001627639297507355,Information Technology,6766427,USD
AON,Aon Plc Class A,G0403H10,BLP1HW5,0.0016206991725851065,Financials,2448219,USD
MCO,Moody's Corporation,61536910,2252058,0.0015918186527357492,Financials,1796380,USD
WM,Waste Management Inc.,94106L10,2937667,0.0015613281039058703,Industrials,4297317,USD
FDX,FedEx Corporation,31428X10,2142784,0.0015520379366828604,Industrials,2730407,USD
D,Dominion Energy Inc,25746U10,2542049,0.0015404477280591053,Utilities,8968627,USD
ADSK,Autodesk Inc.,05276910,2065159,0.0015391177041186742,Information Technology,2440532,USD
COF,Capital One Financial Corporation,14040H10,2654461,0.001530287545175813,Financials,4728654,USD
FISV,Fiserv Inc.,33773810,2342034,0.001524407439333908,Information Technology,6611619,USD
NXPI,NXP Semiconductors NV,N6596X10,B505PN7,0.0015188973401521228,Information Technology,2941524,USD
FCX,Freeport-McMoRan Inc.,35671D85,2352118,0.0015173773127916304,Materials,16290657,USD
BSX,Boston Scientific Corporation,10113710,2113434,0.0015108771957895242,Health Care,15795779,USD
HCA,HCA Healthcare Inc,40412C10,B4MGBG6,0.0014979169625053252,Health Care,2660960,USD
PGR,Progressive Corporation,74331510,2705024,0.0014877267790820237,Financials,6491255,USD
ILMN,Illumina Inc.,45232710,2613990,0.0014823966831402967,Health Care,1737308,USD
HUM,Humana Inc.,44485910,2445063,0.0014677264190755435,Health Care,1425288,USD
NOC,Northrop Grumman Corporation,66680710,2648806,0.0014226556078009405,Industrials,1669250,USD
ECL,Ecolab Inc.,27886510,2304227,0.0014189655413797447,Materials,2761157,USD
SNPS,Synopsys Inc.,87160710,2867719,0.0014104653883769908,Information Technology,1692920,USD
JCI,Johnson Controls International plc,G5150210,BY7QL61,0.0013975251554527984,Industrials,7900807,USD
VRTX,Vertex Pharmaceuticals Incorporated,92532F10,2931034,0.0013934150814714664,Health Care,2825230,USD
PSA,Public Storage,74460D10,2852533,0.0013830748953481164,Real Estate,1690613,USD
IDXX,IDEXX Laboratories Inc.,45168D10,2459202,0.001370984677724199,Health Care,943815,USD
XLNX,Xilinx Inc.,98391910,2985677,0.0013573944330997959,Information Technology,2746745,USD
DXCM,DexCom Inc.,25213110,B0796X4,0.001356564418159527,Health Care,1073116,USD
EMR,Emerson Electric Co.,29101110,2313405,0.0013559144064593162,Industrials,6631821,USD
IQV,IQVIA Holdings Inc,46266C10,BDR73G1,0.0013295239314307658,Health Care,2124923,USD
INFO,IHS Markit Ltd.,G4756710,BD0Q558,0.0013200437607876943,Industrials,4422106,USD
EXC,Exelon Corporation,30161N10,2670519,0.0013188737397273151,Utilities,10847575,USD
TEL,TE Connectivity Ltd.,H8498910,B62B7C3,0.0013138036484656723,Information Technology,3638256,USD
DG,Dollar General Corporation,25667710,B5B1S13,0.0013060135082431483,Consumer Discretionary,2620319,USD
CDNS,Cadence Design Systems Inc.,12738710,2302232,0.0013051134920428567,Information Technology,3069933,USD
EOG,EOG Resources Inc.,26875P10,2318024,0.0013043434781826074,Energy,6477262,USD
SPG,Simon Property Group Inc.,82880610,2812452,0.0012811530607550936,Real Estate,3645477,USD
APH,Amphenol Corporation Class A,03209510,2145084,0.0012796230332145979,Information Technology,6635908,USD
ROP,Roper Technologies Inc.,77669610,2749602,0.0012661127900302205,Industrials,1169562,USD
MSCI,MSCI Inc. Class A,55354G10,B2972D2,0.001254932588786598,Financials,914281,USD
ATVI,Activision Blizzard Inc.,00507V10,2575818,0.001252552545945827,Communication Services,8627343,USD
FTNT,Fortinet Inc.,34959E10,B5B2106,0.0012267120808174548,Information Technology,1504090,USD
MCHP,Microchip Technology Incorporated,59501710,2592174,0.001222141998555974,Information Technology,6166186,USD
CMG,Chipotle Mexican Grill Inc.,16965610,B0X7DZ3,0.001220141962555326,Consumer Discretionary,311422,USD
CNC,Centene Corporation,15135B10,2807061,0.0012104817886721961,Health Care,6467824,USD
DLR,Digital Realty Trust Inc.,25386810,B03GQS4,0.0012062017116308095,Real Estate,3134081,USD
ALGN,Align Technology Inc.,01625510,2679204,0.0011949615093071676,Health Care,814884,USD
A,Agilent Technologies Inc.,00846U10,2520153,0.0011852913352440343,Health Care,3366117,USD
NEM,Newmont Corporation,65163910,2636607,0.0011834113014034253,Materials,8864908,USD
GD,General Dynamics Corporation,36955010,2365161,0.001176651179721235,Industrials,2560912,USD
TT,Trane Technologies plc,G8994E10,BK9ZQ96,0.001169531051558928,Industrials,2635375,USD
AIG,American International Group Inc.,02687478,2027342,0.0011644109593972691,Financials,9225356,USD
KMB,Kimberly-Clark Corporation,49436810,2491839,0.0011586008548153867,Consumer Staples,3736068,USD
ORLY,O'Reilly Automotive Inc.,67103H10,B65LWX6,0.0011501407025326456,Consumer Discretionary,748786,USD
CARR,Carrier Global Corp.,14448C10,BK4N0D7,0.0011429505731103161,Industrials,9625432,USD
CTSH,Cognizant Technology Solutions Corporation Class A,19244610,2257019,0.0011393105075891367,Information Technology,5830502,USD
MAR,Marriott International Inc. Class A,57190320,2210614,0.0011223502023036415,Consumer Discretionary,3034993,USD
MSI,Motorola Solutions Inc.,62007630,B5BKPQ4,0.001120370166663,Information Technology,1878132,USD
MET,MetLife Inc.,59156R10,2573209,0.0011198701576628379,Financials,8078827,USD
TROW,T. Rowe Price Group,74144T10,2702337,0.0011129700334606024,Financials,2517236,USD
BK,Bank of New York Mellon Corporation,06405810,B1Z77F6,0.0010957597236750261,Financials,8441122,USD
APTV,Aptiv PLC,G6095L10,B783TY6,0.0010880695852525345,Consumer Discretionary,3000974,USD
HPQ,HP Inc.,40434L10,BYX4D52,0.0010822094797706358,Information Technology,12804944,USD
AEP,American Electric Power Company Inc.,02553710,2026242,0.0010724793046274833,Utilities,5552156,USD
PAYX,Paychex Inc.,70432610,2674458,0.0010689592412663428,Information Technology,3552746,USD
