symbol,company,last.sale.price,market.cap,country,ipo.year,industry
AES,The AES Corporation Common Stock,23.78,15854454854,United States,NA,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,94.45,0,United States,NA,Electric Utilities: Central
AEVA,Aeva Technologies Inc. Common Stock,7.78,1664985640,,2020,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,15.03,432036388,United States,2002,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,139.05,11792535992,United States,NA,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,26.78,0,United States,2019,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,26.8002,26748208,United States,2019,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,28.865,0,United States,2020,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,26.67,0,United States,2020,
AFI,Armstrong Flooring Inc. Common Stock,1.75,37991499,,2016,Building Products
AFL,AFLAC Incorporated Common Stock,58.79,38891243995,United States,NA,Accident &Health Insurance
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,15.96,248546054,,2011,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,9.69,302812500,,2021,
AG,First Majestic Silver Corp. Ordinary Shares (Canada),10.78,2766281823,Canada,NA,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,9.74,504045000,,2021,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,9.79,561456500,,2021,Business Services
AGCO,AGCO Corporation Common Stock,115.89,8672532309,United States,NA,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,12.09,151724446,United States,2006,Trusts Except Educational Religious and Charitable
AGI,Alamos Gold Inc. Class A Common Shares,7.47,2927961399,Canada,2015,
AGL,agilon health inc. Common Stock,26.77,10538155674,,2021,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,124.91,1344816784,United States,NA,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,28.36,NA,United States,NA,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,27.13,NA,United States,NA,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,26.99,NA,United States,NA,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,26.28,NA,United States,NA,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,25.85,NA,United States,NA,
AGO,Assured Guaranty Ltd. Common Stock,50.12,3500921545,Bermuda,2004,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,49.93,19333123481,United States,2015,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,7.45,839544493,Luxembourg,2011,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,6.67,246314449,United States,2018,Recreational Products/Toys
AGTI,Agiliti Inc. Common Stock,22.38,2924008433,,2021,Managed Health Care
AGX,Argan Inc. Common Stock,38.43,603917650,United States,NA,Oilfield Services/Equipment
AHH,Armada Hoffler Properties Inc. Common Stock,15.17,933037403,United States,2013,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,27,NA,United States,NA,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,26.9,NA,Bermuda,NA,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,26.31,NA,Bermuda,NA,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,25.78,NA,Bermuda,NA,
AHT,Ashford Hospitality Trust Inc Common Stock,9.92,335846510,United States,2003,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,25.8779,NA,United States,NA,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,25.09,NA,United States,NA,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,23.74,NA,United States,NA,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,23.65,NA,United States,NA,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,23.76,NA,United States,NA,
AI,C3.ai Inc. Class A Common Stock,31.46,3304474465,,2020,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,25.12,0,United States,2015,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,15.33,221733519,,2013,Finance Companies
AIG,American International Group Inc. New Common Stock,56.78,48917431177,United States,NA,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,27,NA,United States,NA,
AIN,Albany International Corporation Common Stock,89.14,2886442340,United States,NA,Textiles
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,24.67,847135285,,2019,Finance/Investors Services
AIR,AAR Corp. Common Stock,39.08,1386123479,United States,NA,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,54.84,8609080542,,2020,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,104.21,4007648259,United States,NA,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,7.74,1178320479,United States,1994,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,154.69,8813727115,United States,2004,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,26.81,0,United States,2020,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,169.81,35197877180,United States,NA,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,46.86,3772259241,United States,NA,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,12.86,294717275,United States,2015,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,25.7483,0,United States,2017,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,8.69,1117949695,,2021,Department/Specialty Retail Stores
AKO/A,Embotelladora Andina S.A.,10.42,NA,Chile,NA,
AKO/B,Embotelladora Andina S.A.,12.75,NA,Chile,NA,
AKR,Acadia Realty Trust Common Stock,21.74,1922980590,United States,NA,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,44.15,5032532849,United States,2011,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,26.38,NA,United States,NA,
ALB,Albemarle Corporation Common Stock,232.53,27200503225,United States,NA,Industrial Specialties
ALC,Alcon Inc. Ordinary Shares,88.5,43373850000,Switzerland,2019,Ophthalmic Goods
ALCC,AltC Acquisition Corp. Class A Common Stock,9.77,624791500,,2021,
ALE,Allete Inc.,66.2,3480297249,United States,NA,Power Generation
